"Id","Type","Zone","LotArea","LotConfig","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtRating","BsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualSF","LivAreaSF","FullBath","HalfBath","Bedrooms","Kitchen","KitchenQual","TotRms","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PoolArea","MoSold","YrSold","SaleCondition","SalePrice"
6,60,"RL",8317,"Inside","1Fam","2Story",7,5,2002,2002,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",685,"Y",849,852,0,1765,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd","RFn",2,553,"TA","TA",0,2,2007,"Normal",196327
182,50,"RM",6250,"Inside","1Fam","1.5Sto",7,5,1931,1942,"Gable","TA","TA","BrkTil","TA","TA","No","Unf",0,"Y",990,749,0,1737,2,0,2,2,"TA",8,"Min",2,"TA","Detchd","Unf",2,458,"Fa","TA",0,4,2008,"Abnorml",124205
468,45,"RM",7135,"Inside","1Fam","1.5Sto",7,7,1930,1949,"Gable","TA","TA","PConc","TA","TA","No","Unf",0,"Y",1099,0,0,1095,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","Unf",1,285,"TA","TA",0,6,2006,"Normal",104614
512,120,"RM",4032,"Inside","TwnhsE","1Story",5,7,1971,1971,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",822,"Y",1107,0,0,1111,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd","Unf",2,544,"TA","TA",0,6,2007,"Normal",143257
600,20,"RL",11313,"Inside","1Fam","1Story",8,5,2007,2002,"Gable","Gd","TA","PConc","Ex","TA","No","GLQ",1268,"Y",1661,0,0,1781,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,803,"TA","TA",0,5,2010,"Normal",340750
644,30,"RM",6338,"Inside","1Fam","1Story",4,6,1927,1941,"Gable","TA","TA","BrkTil","TA","TA","No","Unf",0,"N",511,0,0,500,1,0,1,1,"Fa",4,"Typ",0,NA,"Detchd","Unf",1,229,"Fa","TA",0,5,2007,"Normal",70148
688,20,"RL",8727,"CulDSac","1Fam","1Story",5,6,1966,2000,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",1235,0,0,1245,1,1,3,1,"Gd",6,"Typ",0,NA,"Attchd","Unf",1,276,"TA","TA",0,6,2007,"Normal",182311
820,20,"RL",8834,"Inside","1Fam","1Story",5,6,1954,1984,"Hip","TA","TA","CBlock","TA","TA","No","LwQ",1233,"Y",1305,0,0,1276,1,0,3,1,"TA",5,"Typ",1,"TA","Attchd","Fin",2,496,"TA","TA",0,10,2009,"Normal",127161
842,20,"RL",7989,"Inside","1Fam","1Story",5,7,1953,1998,"Gable","TA","Gd","CBlock","TA","TA","No","GLQ",701,"Y",1032,0,0,1084,1,0,3,1,"Gd",5,"Typ",0,NA,"Detchd","Unf",1,235,"TA","TA",0,1,2009,"Abnorml",87611
864,90,"RL",5915,"Inside","Duplex","1Story",4,5,1948,1948,"Gable","TA","TA","PConc",NA,NA,NA,NA,0,"N",1109,0,0,1114,2,0,2,2,"Fa",6,"Typ",0,NA,NA,NA,0,0,NA,NA,0,6,2007,"Abnorml",65448
908,20,"RL",17549,"Inside","1Fam","1Story",5,6,1951,1951,"Gable","TA","Gd","CBlock","TA","TA","Gd","BLQ",949,"Y",1289,0,0,1307,1,1,2,1,"TA",5,"Typ",2,"Gd","Attchd","RFn",1,308,"TA","TA",0,7,2007,"Normal",128331
974,20,"RL",8129,"Inside","1Fam","1Story",5,6,1949,1949,"Gable","TA","TA","CBlock","TA","TA","No","ALQ",183,"Y",1165,0,0,1168,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd","RFn",1,305,"TA","TA",0,5,2006,"Normal",160964
1150,90,"RM",8833,"Corner","Duplex","1Story",5,5,1957,1957,"Gable","Fa","TA","CBlock","Gd","TA","Gd","LwQ",103,"N",835,0,0,832,1,0,2,1,"TA",5,"Typ",0,NA,"Other","Unf",2,502,"TA","TA",0,5,2009,"Normal",97283
1194,80,"RL",7296,"Inside","1Fam","2.5Sto",5,5,1949,1949,"Gable","TA","TA","CBlock","TA","TA","No","ALQ",385,"Y",1389,0,0,1413,1,0,3,1,"TA",6,"Min",1,"TA","Detchd","Unf",2,558,"TA","TA",0,2,2007,"Normal",124123
1260,60,"RL",11352,"Corner","1Fam","2Story",7,5,1999,1999,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",849,899,0,1658,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd","RFn",2,563,"TA","TA",0,8,2005,"Normal",227980
